,p__0,p__1,p__2,p__3,p__4,p__5,p__6,p__7,p__8
2639,0.00022545991396414727,0.070003142455701,3.449759654929605e-05,0.054612131421767435,0.08726707779768407,0.008921029285380194,0.0051435320535084365,0.03156563372988887,0.1524494331431938
2640,0.00022531772544382358,0.0700171695238941,3.446867826889991e-05,0.05461941793190591,0.08734349326954803,0.008931703906128418,0.00514954259874495,0.031567566172168576,0.15240676503454098
2641,0.000226334587059988,0.06988702378378381,3.45150139967943e-05,0.05460791209334325,0.08735358388809615,0.008932818295247379,0.005149150012488078,0.03156054535202881,0.15246978100846495
2642,0.0002259567850628771,0.06993253260591498,3.447633732823345e-05,0.05461819556383885,0.08731225381511919,0.008932540130824637,0.005149112733918104,0.031562901464004665,0.1524272170330742
2643,0.00022597515897782543,0.06991924108524096,3.448229048459087e-05,0.054616333324724736,0.08732486997165945,0.008938679011016191,0.0051500889468908215,0.031560535864260136,0.15244405214720064
2644,0.0002264148425078257,0.0698723927158786,3.447702668615085e-05,0.05461951438058818,0.08737693924211493,0.00894250592801711,0.005151060443919165,0.031556523190365435,0.15246332692251452
2645,0.00022617512926419766,0.06991636926194947,3.4518980396083216e-05,0.05460774386792587,0.08731867381597129,0.008930014779389314,0.005146524588291262,0.03155798082114219,0.15247251653079355
2646,0.00022617512926419766,0.06991636926194947,3.4518980396083216e-05,0.05460774386792587,0.08731867381597129,0.008930014779389314,0.005146524588291262,0.03155798082114219,0.15247251653079355
2647,0.0002258960280272937,0.06992837791774276,3.452189140147204e-05,0.05460793988297832,0.08732401827948952,0.008943423423572067,0.005148705902482614,0.031556254651019834,0.15248147658997108
2648,0.00022537789087188887,0.06999937970070629,3.451726989069849e-05,0.0546081950164156,0.08731385940824618,0.008938259484334887,0.005149019878110122,0.03156104142768994,0.15243777783247547
2649,0.00022582682606818786,0.06995321913996991,3.456193978729407e-05,0.05459315956589224,0.08735377385060615,0.008939209176356402,0.0051527493742562075,0.031559183322624265,0.15237822260802206
